vid,caption,dice,hd95,precision,recall
0006_case_00191_image,kidney,0.8773,4.2426,0.9905,0.7873
0006_case_00191_image,kidney tumor,0.7422,2.0000,0.8611,0.6521
0006_case_00192_image,kidney,0.7217,37.1080,0.6988,0.7461
0006_case_00192_image,kidney tumor,0.9016,4.0000,0.8891,0.9145
0006_case_00194_image,kidney,0.9528,3.1623,0.9449,0.9608
0006_case_00194_image,kidney tumor,0.7306,1.4142,0.7599,0.7035
0006_case_00195_image,kidney,0.7399,7.4833,0.8127,0.6790
0006_case_00195_image,kidney tumor,0.8958,2.8284,0.9174,0.8752
0006_case_00196_image,kidney,0.8648,5.0990,0.8921,0.8391
0006_case_00196_image,kidney tumor,0.9160,1.4142,0.9354,0.8974
0006_case_00197_image,kidney,0.7664,15.2971,0.6920,0.8587
0006_case_00197_image,kidney tumor,0.9220,1.7321,0.8720,0.9779
0006_case_00198_image,kidney,0.8952,2.0000,0.9585,0.8397
0006_case_00198_image,kidney tumor,0.3031,45.1962,0.1858,0.8230
0006_case_00200_image,kidney,0.7435,8.0000,0.8616,0.6539
0006_case_00200_image,kidney tumor,0.9405,1.0000,0.9209,0.9610
0006_case_00201_image,kidney,0.9347,10.6771,0.9238,0.9459
0006_case_00201_image,kidney tumor,0.7825,2.0000,0.9220,0.6796
0006_case_00202_image,kidney,0.7735,22.9129,0.8297,0.7245
0006_case_00202_image,kidney tumor,0.9366,1.4142,0.9591,0.9150
0006_case_00203_image,kidney,0.6341,48.6004,0.7892,0.5299
0006_case_00203_image,kidney tumor,0.9075,1.0000,0.9827,0.8429
0006_case_00204_image,kidney,0.8636,12.0000,0.8068,0.9291
0006_case_00204_image,kidney tumor,0.9490,1.4142,0.9591,0.9392
0006_case_00205_image,kidney,0.8849,25.7876,0.9122,0.8591
0006_case_00205_image,kidney tumor,0.7723,2.2361,0.7606,0.7843
0006_case_00206_image,kidney,0.8288,5.0000,0.9177,0.7556
0006_case_00206_image,kidney tumor,0.7917,2.8284,0.8920,0.7116
0006_case_00207_image,kidney,0.9478,2.0000,0.9722,0.9247
0006_case_00208_image,kidney,0.9223,3.0000,0.9517,0.8947
0006_case_00208_image,kidney tumor,0.6814,2.4684,0.5505,0.8939
0006_case_00209_image,kidney,0.9240,27.0924,0.8971,0.9525
0006_case_00209_image,kidney tumor,0.8063,1.0000,0.7974,0.8154
