vid,caption,dice,hd95,precision,recall
0006_case_00191_image,kidney,0.7456,6.0000,0.9833,0.6004
0006_case_00192_image,kidney,0.7975,26.4273,0.8404,0.7588
0006_case_00192_image,kidney tumor,0.9015,4.0000,0.8886,0.9147
0006_case_00194_image,kidney,0.9509,3.1623,0.9479,0.9539
0006_case_00195_image,kidney,0.7467,7.5498,0.8120,0.6911
0006_case_00195_image,kidney tumor,0.8879,3.0000,0.9079,0.8687
0006_case_00196_image,kidney,0.8836,4.5826,0.8956,0.8719
0006_case_00196_image,kidney tumor,0.9248,1.0000,0.9421,0.9082
0006_case_00197_image,kidney,0.7588,15.2315,0.6898,0.8432
0006_case_00197_image,kidney tumor,0.9236,1.7321,0.8764,0.9762
0006_case_00198_image,kidney,0.8960,2.2361,0.9519,0.8464
0006_case_00200_image,kidney,0.7506,8.0000,0.8647,0.6632
0006_case_00200_image,kidney tumor,0.9383,1.4142,0.9104,0.9680
0006_case_00201_image,kidney,0.9348,13.5647,0.9171,0.9533
0006_case_00202_image,kidney,0.7550,22.0454,0.8500,0.6790
0006_case_00202_image,kidney tumor,0.9191,2.0000,0.9682,0.8747
0006_case_00203_image,kidney,0.7115,3.6056,0.9729,0.5609
0006_case_00204_image,kidney,0.8450,34.0000,0.7624,0.9477
0006_case_00204_image,kidney tumor,0.9482,1.4142,0.9632,0.9336
0006_case_00205_image,kidney,0.8915,4.0000,0.9344,0.8524
0006_case_00205_image,kidney tumor,0.7968,1.4142,0.7774,0.8172
0006_case_00206_image,kidney,0.8302,5.0990,0.9175,0.7581
0006_case_00206_image,kidney tumor,0.7945,2.8284,0.8594,0.7387
0006_case_00207_image,kidney,0.9046,43.0581,0.8750,0.9363
0006_case_00208_image,kidney,0.9272,2.2361,0.9622,0.8946
0006_case_00209_image,kidney,0.9224,25.6632,0.8997,0.9463
